# [MS-ERREF] 2.2 Win32 Error Codes, extracted by extract_ms_erref.py --table win32.
# Source: https://learn.microsoft.com/en-us/openspecs/windows_protocols/ms-erref/18d8fbe8-a967-4f1c-ae50-99ca8e491d2d
# Columns: code (hex, no prefix), symbolic name, description.
# Rows are in specification order; a code may carry more than one name.
00000227	ERROR_PROFILING_NOT_STOPPED	Profiling not stopped.
00000228	ERROR_COULD_NOT_INTERPRET	The passed ACL did not contain the minimum required information.
00000229	ERROR_PROFILING_AT_LIMIT	The number of active profiling objects is at the maximum and no more can be started.
0000022A	ERROR_CANT_WAIT	Used to indicate that an operation cannot continue without blocking for I/O.
0000022B	ERROR_CANT_TERMINATE_SELF	Indicates that a thread attempted to terminate itself by default (called NtTerminateThread with NULL) and it was the last thread in the current process.
0000022C	ERROR_UNEXPECTED_MM_CREATE_ERR	If an MM error is returned that is not defined in the standard FsRtl filter, it is converted to one of the following errors that is guaranteed to be in the filter. In this case, information is lost; however, the filter correctly handles the exception.
0000022D	ERROR_UNEXPECTED_MM_MAP_ERROR	If an MM error is returned that is not defined in the standard FsRtl filter, it is converted to one of the following errors that is guaranteed to be in the filter. In this case, information is lost; however, the filter correctly handles the exception.
0000022E	ERROR_UNEXPECTED_MM_EXTEND_ERR	If an MM error is returned that is not defined in the standard FsRtl filter, it is converted to one of the following errors that is guaranteed to be in the filter. In this case, information is lost; however, the filter correctly handles the exception.
0000022F	ERROR_BAD_FUNCTION_TABLE	A malformed function table was encountered during an unwind operation.
00000230	ERROR_NO_GUID_TRANSLATION	Indicates that an attempt was made to assign protection to a file system file or directory and one of the SIDs in the security descriptor could not be translated into a GUID that could be stored by the file system. This causes the protection attempt to fail, which might cause a file creation attempt to fail.
00000231	ERROR_INVALID_LDT_SIZE	Indicates that an attempt was made to grow a local domain table (LDT) by setting its size, or that the size was not an even number of selectors.
00000233	ERROR_INVALID_LDT_OFFSET	Indicates that the starting value for the LDT information was not an integral multiple of the selector size.
00000234	ERROR_INVALID_LDT_DESCRIPTOR	Indicates that the user supplied an invalid descriptor when trying to set up LDT descriptors.
00000235	ERROR_TOO_MANY_THREADS	Indicates a process has too many threads to perform the requested action. For example, assignment of a primary token can be performed only when a process has zero or one threads.
00000236	ERROR_THREAD_NOT_IN_PROCESS	An attempt was made to operate on a thread within a specific process, but the thread specified is not in the process specified.
00000237	ERROR_PAGEFILE_QUOTA_EXCEEDED	Page file quota was exceeded.
00000238	ERROR_LOGON_SERVER_CONFLICT	The Netlogon service cannot start because another Netlogon service running in the domain conflicts with the specified role.
00000239	ERROR_SYNCHRONIZATION_REQUIRED	On applicable Windows Server releases, the Security Accounts Manager (SAM) database is significantly out of synchronization with the copy on the domain controller. A complete synchronization is required.
0000023A	ERROR_NET_OPEN_FAILED	The NtCreateFile API failed. This error should never be returned to an application, it is a place holder for the Windows LAN Manager Redirector to use in its internal error mapping routines.
0000023B	ERROR_IO_PRIVILEGE_FAILED	{Privilege Failed} The I/O permissions for the process could not be changed.
0000023C	ERROR_CONTROL_C_EXIT	{Application Exit by CTRL+C} The application terminated as a result of a CTRL+C.
0000023D	ERROR_MISSING_SYSTEMFILE	{Missing System File} The required system file %hs is bad or missing.
0000023E	ERROR_UNHANDLED_EXCEPTION	{Application Error} The exception %s (0x%08lx) occurred in the application at location 0x%08lx.
0000023F	ERROR_APP_INIT_FAILURE	{Application Error} The application failed to initialize properly (0x%lx). Click OK to terminate the application.
00000240	ERROR_PAGEFILE_CREATE_FAILED	{Unable to Create Paging File} The creation of the paging file %hs failed (%lx). The requested size was %ld.
00000241	ERROR_INVALID_IMAGE_HASH	The hash for the image cannot be found in the system catalogs. The image is likely corrupt or the victim of tampering.
00000242	ERROR_NO_PAGEFILE	{No Paging File Specified} No paging file was specified in the system configuration.
00000243	ERROR_ILLEGAL_FLOAT_CONTEXT	{EXCEPTION} A real-mode application issued a floating-point instruction, and floating-point hardware is not present.
00000244	ERROR_NO_EVENT_PAIR	An event pair synchronization operation was performed using the thread-specific client/server event pair object, but no event pair object was associated with the thread.
00000245	ERROR_DOMAIN_CTRLR_CONFIG_ERROR	A domain server has an incorrect configuration.
00000246	ERROR_ILLEGAL_CHARACTER	An illegal character was encountered. For a multibyte character set, this includes a lead byte without a succeeding trail byte. For the Unicode character set, this includes the characters 0xFFFF and 0xFFFE.
00000247	ERROR_UNDEFINED_CHARACTER	The Unicode character is not defined in the Unicode character set installed on the system.
00000248	ERROR_FLOPPY_VOLUME	The paging file cannot be created on a floppy disk.
00000249	ERROR_BIOS_FAILED_TO_CONNECT_INTERRUPT	The system bios failed to connect a system interrupt to the device or bus for which the device is connected.
0000024A	ERROR_BACKUP_CONTROLLER	This operation is only allowed for the primary domain controller (PDC) of the domain.
